state,party,electorate
Alabama,I,9
Alaska,I,3
Arizona,I,11
Arkansas,I,6
California,D,55
Colorado,D,9
Connecticut,D,7
Delaware,D,3
District of Columbia,D,3
Florida,D,29
Georgia,R,16
Hawaii,D,4
Idaho,R,4
Illinois,D,20
Indiana,R,11
Iowa,D,6
Kansas,R,6
Kentucky,R,8
Louisiana,R,8
Maine,D,4
Maryland,D,10
Massachusetts,D,11
Michigan,D,16
Minnesota,D,10
Mississippi,R,6
Missouri,R,10
Montana,R,3
Nebraska,R,5
Nevada,D,6
New Hampshire,D,4
New Jersey,D,14
New Mexico,D,5
New York,D,29
North Carolina,R,15
North Dakota,R,3
Ohio,D,18
Oklahoma,R,7
Oregon,D,7
Pennsylvania,D,20
Rhode Island,D,4
South Carolina,R,9
South Dakota,R,3
Tennessee,R,11
Texas,R,38
Utah,R,6
Vermont,D,3
Virginia,D,13
Washington,D,12
West Virginia,R,5
Wisconsin,D,10
Wyoming,R,3
